fournisseur,produit,ean,conditionnement
L oreal,Fixateur Permanente 1000 ml,3474630355750,1
L oreal,Réducteur Permanente 1T Fortifiante Cheveux Naturels 12 x 75 ml,3474630510333,1
L oreal,Reducteur Permanente 2Tonique Cheveux Sensibilisés 12 x 75 ml,3474630510517,1
L oreal,XTENSO MOIST REDUC NATURA 250ML 315,3474630258716,1
L oreal,XTENSO MOIST REDUC RESIST 250ML 315,3474630258761,1
L oreal,XTENSO MOIST REDUC SENSIT 250ML 315,3474630258778,1
L oreal,Fixateur Lissage 1000 ml,3474630258808,1
L oreal,Metal Detox Spray 500 ml,30164840,1
L oreal,Metal Detox Shampoing Anti-Métal 1500 ml,30160668,1
L oreal,Metal Detox Shampoing Recharge 1000ml,3474637275419,1
L oreal,Metal Detox Masque Anti-Métal 500 ml,30163478,1
L oreal,Metal Detox Shampoing Anti-Métal 300 ml,30158078,1
L oreal,Metal Detox Shampoing Anti-Métal 500 ml,30163720,1
L oreal,Metal Detox Shampooing Anti-Métal Éco-Recharge 500 ml,3474637242213,1
L oreal,Metal Detox Masque Protecteur Anti-Dépôt 250 ml,30160606,1
L oreal,Metal Detox Huile concentrée 50 ml,3474637090609,1
L oreal,Metal Detox Crème Haute Protection Sans Rinçage100 ml,30161153,1
L oreal,Vitamino Color Shampoing 300 ml,3474636975518,1
L oreal,Vitamino Color Shampoing 500 ml,3474636975952,1
L oreal,Silver Shampooing Déjaunissant Éco-Recharge 500 ml,3474637242176,1
L oreal,Vitamino Color Shampoing 1500 ml,3474636975976,1
